id	seccion	tipo	autores	titulo	anio	core	rol
1	I-Forecasting	libro	Hyndman, R. J.; Athanasopoulos, G.	Forecasting: Principles and Practice (ed. Python 2026)	2021	CORE	forecasting
2	I-Forecasting	libro	Box, G. E. P.; Jenkins, G. M.; Reinsel, G. C.; Ljung, G. M.	Time Series Analysis: Forecasting and Control	2015	CORE	forecasting
3	I-Forecasting	libro	Armstrong, J. S. (ed.)	Principles of Forecasting: A Handbook for Researchers and Practitioners	2001	CORE	forecasting
4	I-Forecasting	libro	Makridakis, S.; Wheelwright, S. C.; Hyndman, R. J.	Forecasting: Methods and Applications	1998	ESP	forecasting
5	I-Forecasting	libro	Tetlock, P. E.; Gardner, D.	Superforecasting: The Art and Science of Prediction	2015	CORE	superforecasting
6	I-Forecasting	libro	Tetlock, P. E.	Expert Political Judgment: How Good Is It? How Can We Know?	2005	CORE	calibracion
7	I-Forecasting	libro	Silver, N.	The Signal and the Noise	2012	ESP	señal-ruido
8	I-Forecasting	paper	Makridakis, S.; Spiliotis, E.; Assimakopoulos, V.	The M4 Competition: 100,000 Time Series and 61 Forecasting Methods	2020	CORE	benchmark
9	I-Forecasting	paper	Makridakis, S.; Spiliotis, E.; Assimakopoulos, V.	M5 Accuracy Competition: Results, Findings, and Conclusions	2022	CORE	benchmark
10	I-Forecasting	paper	Smyl, S.	A Hybrid Method of Exponential Smoothing and Recurrent Neural Networks for Time Series Forecasting	2020	ESP	ensemble
11	I-Forecasting	paper	Bates, J. M.; Granger, C. W. J.	The Combination of Forecasts	1969	CORE	ensemble
12	I-Forecasting	paper	Clemen, R. T.	Combining Forecasts: A Review and Annotated Bibliography	1989	ESP	ensemble
13	I-Forecasting	paper	Makridakis, S.; Hibon, M.	The M3-Competition: Results, Conclusions and Implications	2000	ESP	benchmark
14	I-Forecasting	paper	Makridakis, S.; Andersen, A.; Carbone, R.; Fildes, R.; Hibon, M.; Lewandowski, R.; Newton, J.; Parzen, E.; Winkler, R.	The Accuracy of Extrapolation (Time Series) Methods: Results of a Forecasting Competition	1982	ESP	benchmark
15	I-Forecasting	paper	Makridakis, S.; Petropoulos, F.	The M4 Competition: Conclusions	2020	ESP	benchmark
16	II-Bayes	libro	Gelman, A.; Carlin, J. B.; Stern, H. S.; Dunson, D. B.; Vehtari, A.; Rubin, D. B.	Bayesian Data Analysis (3a ed.)	2013	CORE	bayes
17	II-Bayes	libro	McElreath, R.	Statistical Rethinking: A Bayesian Course with Examples in R and Stan	2020	ESP	bayes
18	II-Bayes	libro	Jaynes, E. T.	Probability Theory: The Logic of Science	2003	CORE	bayes
19	II-Bayes	libro	de Finetti, B.	Theory of Probability	1974	ESP	bayes
20	II-Bayes	libro	Berger, J. O.	Statistical Decision Theory and Bayesian Analysis (2a ed.)	1985	CORE	decision-bayes
21	II-Bayes	libro	Bernardo, J. M.; Smith, A. F. M.	Bayesian Theory	1994	ESP	bayes
